"indicateur","région","sexe","Unit","Date","Value"
"Admission au BEPC par région et par sexe (%)","Kara","Masculin","%","2014","74.1"
"Admission au BEPC par région et par sexe (%)","Kara","Masculin","%","2015","79.7"
"Admission au BEPC par région et par sexe (%)","Kara","Masculin","%","2016","72.6"
"Admission au BEPC par région et par sexe (%)","Kara","Masculin","%","2017","77.5"
"Admission au BEPC par région et par sexe (%)","Kara","Masculin","%","2018","77.3"
"Admission au BEPC par région et par sexe (%)","Kara","Masculin","%","2019","74.5"
"Admission au BEPC par région et par sexe (%)","Kara","Masculin","%","2020","79.9"
"Admission au BEPC par région et par sexe (%)","Kara","Masculin","%","2021","82.6"
"Admission au BEPC par région et par sexe (%)","Kara","Masculin","%","2022","82.5"
"Admission au BEPC par région et par sexe (%)","Kara","Féminin","%","2011","66.6"
"Admission au BEPC par région et par sexe (%)","Kara","Féminin","%","2012","66.4"
"Admission au BEPC par région et par sexe (%)","Kara","Féminin","%","2013","54"
"Admission au BEPC par région et par sexe (%)","Kara","Féminin","%","2014","65.1"
"Admission au BEPC par région et par sexe (%)","Kara","Féminin","%","2015","73.4"
"Admission au BEPC par région et par sexe (%)","Kara","Féminin","%","2016","63.5"
"Admission au BEPC par région et par sexe (%)","Kara","Féminin","%","2017","75.1"
"Admission au BEPC par région et par sexe (%)","Kara","Féminin","%","2018","69.9"
"Admission au BEPC par région et par sexe (%)","Kara","Féminin","%","2019","72"
"Admission au BEPC par région et par sexe (%)","Kara","Féminin","%","2020","74.3"
"Admission au BEPC par région et par sexe (%)","Kara","Féminin","%","2021","81"
"Admission au BEPC par région et par sexe (%)","Kara","Féminin","%","2022","78.3"
"Admission au BEPC par région et par sexe (%)","Savanes","Total","%","2011","66.2"
"Admission au BEPC par région et par sexe (%)","Savanes","Total","%","2012","75.1"
"Admission au BEPC par région et par sexe (%)","Savanes","Total","%","2013","70.2"
"Admission au BEPC par région et par sexe (%)","Savanes","Total","%","2014","73.1"
