"indicateurs","niveau","secteur","Unit","Date","Value"
"Nombre d'enseignants","Lycée","Public","Number","2013","2607"
"Nombre d'enseignants","Lycée","Public","Number","2014","3085"
"Nombre d'enseignants","Lycée","Public","Number","2015","3085"
"Nombre d'enseignants","Lycée","Public","Number","2016","3191"
"Nombre d'enseignants","Lycée","Public","Number","2017","3471"
"Nombre d'enseignants","Lycée","Public","Number","2018","3414"
"Nombre d'enseignants","Lycée","Public","Number","2019","3514"
"Nombre d'enseignants","Lycée","Public","Number","2020","3768"
"Nombre d'enseignants","Lycée","Public","Number","2021","4098"
"Nombre d'enseignants","Lycée","Public","Number","2022","4003"
"Nombre d'enseignants","Lycée","Autres (Privés, confessionnelles, etc.)","Number","2013","1777"
"Nombre d'enseignants","Lycée","Autres (Privés, confessionnelles, etc.)","Number","2014","1210"
"Nombre d'enseignants","Lycée","Autres (Privés, confessionnelles, etc.)","Number","2015","1742"
"Nombre d'enseignants","Lycée","Autres (Privés, confessionnelles, etc.)","Number","2016","1759"
"Nombre d'enseignants","Lycée","Autres (Privés, confessionnelles, etc.)","Number","2017","2243"
"Nombre d'enseignants","Lycée","Autres (Privés, confessionnelles, etc.)","Number","2018","2422"
"Nombre d'enseignants","Lycée","Autres (Privés, confessionnelles, etc.)","Number","2019","2459"
"Nombre d'enseignants","Lycée","Autres (Privés, confessionnelles, etc.)","Number","2020","3445"
"Nombre d'enseignants","Lycée","Autres (Privés, confessionnelles, etc.)","Number","2021","3756"
"Nombre d'enseignants","Lycée","Autres (Privés, confessionnelles, etc.)","Number","2022","3793"
"Dépenses annuelles d'éducation","Total","Total","Number","2013","108240000000"
"Dépenses annuelles d'éducation","Total","Total","Number","2014","122030000000"
"Dépenses annuelles d'éducation","Total","Total","Number","2015","126270000000"
"Dépenses annuelles d'éducation","Total","Total","Number","2016","139621990788"
"Dépenses annuelles d'éducation","Total","Total","Number","2017","144447591541"
"Dépenses annuelles d'éducation","Total","Total","Number","2018","157746181760"
"Dépenses annuelles d'éducation","Total","Total","Number","2019","172314294000"
"Dépenses annuelles d'éducation","Total","Total","Number","2020","174168929000"
"Dépenses annuelles d'éducation","Total","Total","Number","2021","195697679000"
"Dépenses annuelles d'éducation","Total","Total","Number","2022","195540000000"
"Part du Budget alloué à l'éducation (%)","Total","Total","percentage","2013","13.76"
"Part du Budget alloué à l'éducation (%)","Total","Total","percentage","2014","14.7"
"Part du Budget alloué à l'éducation (%)","Total","Total","percentage","2015","15.3"
"Part du Budget alloué à l'éducation (%)","Total","Total","percentage","2016","15.5553812237349"
"Part du Budget alloué à l'éducation (%)","Total","Total","percentage","2017","17.1211349730941"
"Part du Budget alloué à l'éducation (%)","Total","Total","percentage","2018","17.0778271671232"
"Part du Budget alloué à l'éducation (%)","Total","Total","percentage","2019","19.1854694650114"
"Part du Budget alloué à l'éducation (%)","Total","Total","percentage","2020","18.1597620399882"
"Part du Budget alloué à l'éducation (%)","Total","Total","percentage","2021","19.3700014336545"
"Part du Budget alloué à l'éducation (%)","Total","Total","percentage","2022","14.7025465284281"
"Taux d'achèvement ou de diplomation","Primaire","Total","percentage","2013","77.7"
"Taux d'achèvement ou de diplomation","Primaire","Total","percentage","2014","83.6"
"Taux d'achèvement ou de diplomation","Primaire","Total","percentage","2015","85.2"
"Taux d'achèvement ou de diplomation","Primaire","Total","percentage","2016","94.8"
"Taux d'achèvement ou de diplomation","Primaire","Total","percentage","2017","93.6"
"Taux d'achèvement ou de diplomation","Primaire","Total","percentage","2018","91.4"
"Taux d'achèvement ou de diplomation","Primaire","Total","percentage","2019","86.5"
"Taux d'achèvement ou de diplomation","Primaire","Total","percentage","2020","87"
"Taux d'achèvement ou de diplomation","Primaire","Total","percentage","2021","88.6"
"Taux d'achèvement ou de diplomation","Primaire","Total","percentage","2022","88.7"
"Taux d'achèvement ou de diplomation","Collège","Total","percentage","2013","36.6"
"Taux d'achèvement ou de diplomation","Collège","Total","percentage","2014","36.6"
"Taux d'achèvement ou de diplomation","Collège","Total","percentage","2015","41.6"
"Taux d'achèvement ou de diplomation","Collège","Total","percentage","2016","42.8"
